Genus	Species	Family	Lifestyle	chisel	Measurement method	N	Body Mass (g)	SD	Bite force (N)	SD	reference
Apodemus	epimelas	Muridae	terrestrial	NO	Piezo	6	37.12	4.65	13.78	1.33	This study, A. Herrel
Apodemus	sylvaticus	Muridae	terrestrial	NO	Piezo	103	20.42		9.09		Ginot et al 2018b
Bathyergus	suillus	Bathyergidae	subterranean	NO	Piezo	46	534.26	235.58	99.79	43.74	Kraus et al, 2022
Berylmys	berdmorei	Muridae	terrestrial	NO	Piezo	1	180		21.26		Ginot et al 2018b
Berylmys	bowersi	Muridae	terrestrial	NO	Piezo	2	205.6	76.93	22.31	7.22	Ginot et al 2018b
Calomyscus	bailwardi	Calomyscidae	terrestrial	NO	Piezo	2	14		4.46	0.71	This study, A. Herrel
Cavia	porcellus	Caviidae	terrestrial	NO	Piezo	3	689	4.58	35.24	1.21	This study, A. Herrel
Chinchilla	lanigera	Chinchillidae	terrestrial	NO	Piezo	1	649.4		62.38		This study, A. Herrel
Cryptomys	hottentotus	Bathyergidae	subterranean	YES	Piezo	15	60.87	15.61	22.95	9.02	Kraus et al, 2022
Ctenomys	talarum	Ctenomyidae	subterranean	YES	strain gauge	15	146.6	19.7	31.67	5.84	Becerra et al, 2011
Ctenomys	tuconax	Ctenomyidae	subterranean	YES	strain gauge	3	520	100.7	74.9	24.3	Becerra et al, 2013
Ctenomys	australis	Ctenomyidae	subterranean	YES	strain gauge	10	360		68.7		Becerra et al, 2014
Dinaromys	bogdanovi	Cricetidae	terrestrial	NO	Piezo	11	72.27	5.52	17.61	2.15	This study, A. Herrel
Dipodomys	ordii	Heteromyidae	burrower	NO	flexiforce	11	63	6.77	13.98	2.07	Freeman & Lemen 2008
Eliomys	quercinus	Gliridae	arboreal	NO	Piezo	6	76.03	12.51	14.39	1.99	This study, A. Herrel
Fukomys	anselli	Bathyergidae	subterranean	YES	Piezo	10	90.53	14.87	24.92	7.39	Kraus et al, 2022
Fukomys	damarensis	Bathyergidae	subterranean	YES	Piezo	122	137.89	37.01	60.58	29.88	Kraus et al, 2022
Fukomys	darlingi	Bathyergidae	subterranean	YES	Piezo	26	121.1	32.73	32.98	9.49	Kraus et al, 2022
Fukomys	mechowii	Bathyergidae	subterranean	YES	Piezo	73	93.43	26.4	75.36	52.46	Gomes Rodrigues et al. 2023
Fukomys	micklemi	Bathyergidae	subterranean	YES	Piezo	11	75.9	30.58	21.82	11.32	Gomes Rodrigues et al. 2023
Fukomys	whytei	Bathyergidae	subterranean	YES	Piezo	8	82.64	18.64	22.96	12.63	Gomes Rodrigues et al. 2023
Geomys	bursarius	Geomyidae	subterranean	NO	flexiforce	5	153	27.23	50.61	7.62	Freeman & Lemen 2008
Georychus	capensis	Bathyergidae	subterranean	YES	Piezo	58	142.67	39.45	48.52	16.78	Kraus et al, 2022
Heliophobius	argenteocinereus	Bathyergidae	subterranean	YES	Piezo	7	207.49	41.49	40.01	11.08	Kraus et al, 2022
Heterocephalus	glaber	Bathyergidae	subterranean	YES	Piezo	31	37.93	7.7	14.7	3.25	Kraus et al, 2022
Lemniscomys	striatus	Muridae	terrestrial	NO	Piezo	3	45.67	4.73	13.58	1.35	This study, A. Herrel
Marmota	marmota	Sciuridae	burrower	NO	Piezo	30	3692.5	505.54	242.64	56.61	This study, S. Ginot
Maxomys	surifer	Muridae	terrestrial	NO	Piezo	7	123.49	22.31	20.6	4.45	Ginot et al 2018b
Mesocricetus	auratus	Cricetidae	terrestrial	NO	Piezo	3	146.7	25.03	21.89	1.57	This study, A. Herrel
Microtus	ochrogaster	Cricetidae	terrestrial	NO	flexiforce	10	34	6.36	12.88	2.86	Freeman & Lemen 2008
Mus	spretus	Muridae	terrestrial	NO	Piezo	35	13.72		8.31		Ginot et al 2018b
Mus	musculus	Muridae	terrestrial	NO	Piezo	1861	21.91	4.67	8.85	1.94	Ginot et al. 2020
Mus	minutoides	Muridae	terrestrial	NO	Piezo	56	7.76	1.9	3.39	1.08	Ginot et al. 2017
Mus	mattheyi	Muridae	terrestrial	NO	Piezo	17	5.31	0.77	2.48	0.37	This study, S. Ginot
Mus	caroli	Muridae	terrestrial	NO	Piezo	4	10125	1.8	4.27	1.17	Ginot et al 2018b
Mus	cervicolor	Muridae	terrestrial	NO	Piezo	47	12.3	2.73	6.12	1.62	Ginot et al 2018b
Mus	cookii	Muridae	terrestrial	NO	Piezo	7	19.26	3.85	5.96	1.95	Ginot et al 2018b
Mus	fragilicauda	Muridae	terrestrial	NO	Piezo	3	13	5.9	4.08	0.55	Ginot et al 2018b
Mus	pahari	Muridae	terrestrial	NO	Piezo	3	21.1	4.76	5.87	1.57	Ginot et al 2018b
Myodes	glareolus	Cricetidae	terrestrial	NO	Piezo	23	20.67	3.16	9.06	0.48	This study, A. Herrel
Myoxus	glis	Gliridae	arboreal	NO	Piezo	6	143.86	30.85	26.76	3.49	This study, A. Herrel
Nannospalax	galili	Spalacidae	subterranean	YES	Piezo	36	161.36	31.64	43.08	9.53	Gomes Rodrigues et al. 2023
Neotoma	floridana	Cricetidae	terrestrial	NO	flexiforce	15	321	67.48	30.26	4.35	Freeman & Lemen 2008
Niviventer	fulvescens	Muridae	arboreal	NO	Piezo	9	64.99	20.53	17.63	7.66	Ginot et al 2018b
Octodon	degus	Octodontidae	burrower	NO	Piezo	3	194.33	23.16	34.88	10.36	This study, A. Herrel
Onychomys	leucogaster	Cricetidae	terrestrial	NO	strain gauge	10	49.85		13.48	5.7	Williams et al 2009
Perognathus	flavescens	Heteromyidae	burrower	NO	flexiforce	1	6.5		4.64		Freeman & Lemen 2008
Peromyscus	maniculatus	Cricetidae	terrestrial	NO	flexiforce	4	21	2.58	8.83	1.22	Freeman & Lemen 2008
Peromyscus	leucopus	Cricetidae	terrestrial	NO	flexiforce	10	23	4.9	10	2.32	Freeman & Lemen 2008
Rattus	norvegicus	Muridae	terrestrial	NO	Piezo	3	341	23.64	15.1	3.92	This study, A. Herrel
Rattus	andamanensis	Muridae	terrestrial	NO	Piezo	1	159.2		26.98		Ginot et al 2018b
Rattus	exulans	Muridae	terrestrial	NO	Piezo	38	34.13	13.54	7.57	2.92	Ginot et al 2018b
Rattus	tanezumi	Muridae	terrestrial	NO	Piezo	28	77.67	32.36	23.91	6.8	Ginot et al 2018b
Reithrodontomys	megalotis	Cricetidae	terrestrial	NO	flexiforce	3	11.5	2.29	7.67	0.43	Freeman & Lemen 2008
Rhabdomys	pumilio	Muridae	terrestrial	NO	Piezo	1	53.2		16.08		This study, A. Herrel
Sciurus	niger	Sciuridae	arboreal	NO	flexiforce	22	588	87.34	72.95	10.19	Freeman & Lemen 2008
Sigmodon	hispidus	Cricetidae	terrestrial	NO	flexiforce	6	105	80.28	19.87	7.46	Freeman & Lemen 2008
Spalacopus	cyanus	Octodontidae	subterranean	YES	Piezo	7	95.99	22.76	25.65	6.36	Gomes Rodrigues et al. 2023
Spermophilus	tridecemlineatus	Sciuridae	burrower	NO	flexiforce	4	144	31.98	21.05	4.35	Freeman & Lemen 2008
Vandeleuria	oleracea	Muridae	arboreal	NO	Piezo	1	8.9		6.94		Ginot et al 2018b
Zapus	hudsonius	Dipodidae	terrestrial	NO	flexiforce	1	24.5		7.63		Freeman & Lemen 2008
